accession	strain	subtype	date	host	host_common_name	location	region	passage_history	length
OR133599.2	A/New York City/2/1918	H1N1	1918-09-24	Homo sapiens		USA: New York City	North America		1701
OR382007.1	A/Washington DC/1/1918	H1N1	1918-09-29	Homo sapiens		USA: Washington DC	North America		1701
CY045756.1	A/United Kingdom/1/1933	H1N1	1933-04-16	Homo sapiens		United Kingdom	Europe	egg 2 passage(s)	1726
CY090845.1	A/United Kingdom/1-MA/1933	H1N1	1933-06-01	Homo sapiens		United Kingdom	Europe	Mouselung 12+MDCK 2+egg 2 passage(s)	1749
MZ310489.1	A/Puerto Rico/8/1934	H1N1	1934-02-28	Homo sapiens		Puerto Rico	North America		1775
CY087784.1	A/Fort Monmouth/1-MA/1947	H1N1	1947-06-01	Homo sapiens		USA	North America	Mouselung 12+MDCK 2+egg 2 passage(s)	1753
PP563071.1	A/Los Angeles County/LACPHL-INF00171/1958	H1N1	1958-12-13	Homo sapiens		USA: California, Los Angeles County	North America		1701
CY005735.1	A/duck/NZL/160/1976	H1N3	1976-01-01	Aves		New Zealand: New Zealand	Oceania		1777
CY015167.1	A/murre/Alaska/175/1976	H1N2	1976-01-01	Aves		USA: Alaska	North America		1777
MK787448.1	A/mallard duck/Alberta/10/1976	H1N1	1976-08-11	Anas platyrhynchos		Canada	North America		1752
MK787442.1	A/mallard duck/Alberta/19/1976	H1N1	1976-08-11	Anas platyrhynchos		Canada	North America		1752
CY084497.1	A/swine/Hong Kong/26/1977	H1N1	1977-04-12	Sus scrofa		Hong Kong	Asia		1710
CY084505.1	A/swine/Hong Kong/27/1977	H1N1	1977-04-12	Sus scrofa		Hong Kong	Asia		1710
CY084513.2	A/swine/Hong Kong/28/1977	H1N1	1977-04-12	Sus scrofa		Hong Kong	Asia		1702
CY084553.2	A/swine/Hong Kong/33/1977	H1N1	1977-04-12	Sus scrofa		Hong Kong	Asia		1710
CY084585.1	A/swine/Hong Kong/38/1977	H1N1	1977-04-18	Sus scrofa		Hong Kong	Asia		1698
CY084593.2	A/swine/Hong Kong/39/1977	H1N1	1977-04-18	Sus scrofa		Hong Kong	Asia		1709
CY084649.1	A/swine/Hong Kong/46/1977	H1N1	1977-04-18	Sus scrofa		Hong Kong	Asia		1713
CY084665.1	A/swine/Hong Kong/48/1977	H1N1	1977-04-18	Sus scrofa		Hong Kong	Asia		1732
CY084681.2	A/swine/Hong Kong/50/1977	H1N1	1977-04-18	Sus scrofa		Hong Kong	Asia		1710
CY084737.2	A/swine/Hong Kong/59/1977	H1N1	1977-04-25	Sus scrofa		Hong Kong	Asia		1711
CY084753.2	A/swine/Hong Kong/63/1977	H1N1	1977-04-25	Sus scrofa		Hong Kong	Asia		1711
CY084761.2	A/swine/Hong Kong/64/1977	H1N1	1977-04-25	Sus scrofa		Hong Kong	Asia		1711
CY084801.1	A/swine/Hong Kong/68/1977	H1N1	1977-04-29	Sus scrofa		Hong Kong	Asia		1712
CY084809.1	A/swine/Hong Kong/70/1977	H1N1	1977-04-29	Sus scrofa		Hong Kong	Asia		1712
CY004458.1	A/mallard duck/ALB/42/1977	H1N6	1977-08-02	Aves		Canada: Alberta	North America		1777
CY004466.1	A/mallard duck/ALB/46/1977	H1N1	1977-08-08	Aves		Canada: Alberta	North America		1777
MK787450.1	A/mallard duck/Alberta/10/1977	H1N1	1977-08-08	Anas platyrhynchos		Canada	North America		1752
MK787443.1	A/mallard duck/Alberta/22/1977	H1N1	1977-08-10	Anas platyrhynchos		Canada	North America		1752
MK787440.1	A/mallard duck/Alberta/216/1977	H1N1	1977-08-17	Anas platyrhynchos		Canada	North America		1752
MK787447.1	A/mallard duck/Alberta/109/1977	H1N1	1977-08-20	Anas platyrhynchos		Canada	North America		1752
CY004592.1	A/mallard duck/ALB/127/1977	H1N1	1977-08-22	Aves		Canada: Alberta	North America		1777
MK787451.1	A/pintail duck/Alberta/97/1977	H1N1	1977-08-22	Anas acuta		Canada	North America		1752
MK787452.1	A/mallard duck/Alberta/282/1977	H1N1	1977-08-27	Anas platyrhynchos		Canada	North America		1752
CY004474.1	A/pintail duck/ALB/219/1977	H1N1	1977-09-03	Aves		Canada: Alberta	North America		1777
MK787445.1	A/pintail duck/Alberta/219/1977	H1N1	1977-09-04	Anas acuta		Canada	North America		1752
CY084825.2	A/swine/Hong Kong/78/1978	H1N1	1978-01-01	Sus scrofa		Hong Kong	Asia		1733
CY084833.2	A/swine/Hong Kong/79/1978	H1N1	1978-01-06	Sus scrofa		Hong Kong	Asia		1708
CY084841.2	A/swine/Hong Kong/80/1978	H1N1	1978-01-06	Sus scrofa		Hong Kong	Asia		1711
CY084849.2	A/swine/Hong Kong/83/1978	H1N1	1978-01-20	Sus scrofa		Hong Kong	Asia		1720
CY084857.2	A/swine/Hong Kong/84/1978	H1N1	1978-01-20	Sus scrofa		Hong Kong	Asia		1720
CY014968.1	A/mallard duck/New York/6861/1978	H1N5	1978-08-01	Aves		USA: New York	North America		1777
MK787444.1	A/mallard duck/Alberta/714/1978	H1N1	1978-08-18	Anas platyrhynchos		Canada	North America		1752
CY004482.1	A/pintail duck/ALB/238/1979	H1N1	1979-08-09	Aves		Canada: Alberta	North America		1777
MH613292.1	A/northern pintail/Alberta/742/1979	H1N1	1979-08-14	Anas acuta		Canada	North America		1746
MH613304.1	A/northern pintail/Alberta/743/1979	H1N1	1979-08-14	Anas acuta		Canada	North America		1746
CY004490.1	A/mallard duck/ALB/965/1979	H1N1	1979-08-16	Aves		Canada: Alberta	North America		1777
CY084865.2	A/swine/Hong Kong/86/1979	H1N1	1979-11-28	Sus scrofa		Hong Kong	Asia		1720
KJ889300.1	A/swine/Arnsberg/1/1979	H1N1	1979-12-07	Sus scrofa		Germany	Europe		1777
KJ889308.1	A/swine/Arnsberg/6554/1979	H1N1	1979-12-07	Sus scrofa		Germany	Europe		1769
CY084873.2	A/swine/Hong Kong/100/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1702
CY084881.1	A/swine/Hong Kong/101/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1729
CY084889.2	A/swine/Hong Kong/89/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1733
CY084897.2	A/swine/Hong Kong/90/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1733
CY084905.1	A/swine/Hong Kong/91/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1735
CY084913.1	A/swine/Hong Kong/92/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1734
CY084921.2	A/swine/Hong Kong/94/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1733
CY084929.2	A/swine/Hong Kong/95/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1733
CY084937.1	A/swine/Hong Kong/96/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1732
CY084945.1	A/swine/Hong Kong/97/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1733
CY084953.2	A/swine/Hong Kong/99/1979	H1N1	1979-12-28	Sus scrofa		Hong Kong	Asia		1733
MK787441.1	A/pintail duck/Alberta/355/1980	H1N1	1980-08-08	Anas acuta		Canada	North America		1752
MK787446.1	A/mallard duck/Alberta/740/1980	H1N1	1980-08-24	Anas platyrhynchos		Canada	North America		1752
KJ889332.1	A/swine/Arnsberg/3/1981	H1N1	1981-02-11	Sus scrofa		Germany	Europe		1777
KJ889340.1	A/swine/Arnsberg/4/1981	H1N1	1981-02-17	Sus scrofa		Germany	Europe		1777
KJ889348.1	A/swine/Arnsberg/7/1981	H1N1	1981-02-23	Sus scrofa		Germany	Europe		1777
MK787449.1	A/mallard duck/Alberta/73/1981	H1N1	1981-08-02	Anas platyrhynchos		Canada	North America		1752
CY004498.1	A/pintail duck/ALB/631/1981	H1N5	1981-08-19	Aves		Canada: Alberta	North America		1777
CY005866.1	A/pigeon/MN/1407/1981	H1N1	1981-10-02	Aves		USA: Minnesota	North America		1777
CY014901.1	A/mallard duck/New York/170/1982	H1N2	1982-12-01	Aves		USA: New York	North America		1777
KF424234.1	A/blue winged teal/Alberta/212/1984	H1N1	1984-08-09	Spatula discors		Canada: Alberta	North America		1710
KF424146.1	A/mallard/Tennessee/11464/1985	H1N1	1985-01-16	Anas platyrhynchos		USA: Tennessee	North America		1710
CY136638.1	A/blue-winged teal/Alberta/69/1987	H1N1	1987-08-05	Spatula discors		Canada: Alberta	North America	E1 passage(s)	1752
CY017275.1	A/mallard/Ohio/265/1987	H1N9	1987-10-19	Anas platyrhynchos		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1744
CY004531.1	A/mallard duck/ALB/322/1988	H1N1	1988-09-03	Aves		Canada: Alberta	North America		1777
CY036943.1	A/Siena/9/1989	H1N1	1989-01-02	Homo sapiens		Italy: Siena	Europe	Eggs passage(s)	1726
CY036823.1	A/Siena/10/1989	H1N1	1989-01-03	Homo sapiens		Italy: Siena	Europe	Eggs passage(s)	1722
CY136745.1	A/ruddy turnstone/New Jersey/147/1990	H1N1	1990-05-26	Arenaria interpres		USA: New Jersey	North America	E2 passage(s)	1744
CY116307.1	A/swine/England/79851/1990	H1N1	1990-06-17	Sus scrofa		United Kingdom: England	Europe		1701
CY012800.1	A/mallard/Ohio/171/1990	H1N1	1990-10-18	Anas platyrhynchos		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1727
CY115967.1	A/swine/England/114065/1990	H1N1	1990-12-07	Sus scrofa		United Kingdom: England	Europe		1701
CY116036.1	A/swine/England/195852/1992	H1N1	1992-01-07	Sus scrofa		United Kingdom: England	Europe		1701
FJ752514.1	A/swine/Taichung/E3/1992	H1N1	1992-09-08	Sus scrofa		Taiwan	Asia		1701
CY116058.1	A/swine/England/252411/1992	H1N1	1992-10-17	Sus scrofa		United Kingdom: England	Europe		1701
CY004539.1	A/blue-winged teal/Alberta/141/1992	H1N1	1992-12-01	Aves		Canada: Alberta	North America		1777
CY116082.1	A/swine/England/279053/1993	H1N1	1993-03-05	Sus scrofa		United Kingdom: England	Europe		1701
CY116090.1	A/swine/England/283902/1993	H1N1	1993-04-21	Sus scrofa		United Kingdom: England	Europe		1701
CY084961.1	A/swine/Hong Kong/128/1993	H1N1	1993-07-19	Sus scrofa		Hong Kong	Asia		1727
CY084977.1	A/swine/Hong Kong/249/1993	H1N1	1993-08-03	Sus scrofa		Hong Kong	Asia		1729
CY084985.1	A/swine/Hong Kong/299/1993	H1N1	1993-08-10	Sus scrofa		Hong Kong	Asia		1729
CY015443.1	A/black duck/Ohio/95/1993	H1N1	1993-10-15	Anas platyrhynchos		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1743
CY018885.1	A/mallard/Ohio/118/1993	H1N1	1993-10-15	Anas platyrhynchos		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1743
CY085057.2	A/swine/Hong Kong/1223/1993	H1N1	1993-11-25	Sus scrofa		Hong Kong	Asia		1731
CY085073.2	A/swine/Hong Kong/1286/1993	H1N1	1993-11-29	Sus scrofa		Hong Kong	Asia		1730
CY085081.2	A/swine/Hong Kong/1290/1993	H1N1	1993-12-13	Sus scrofa		Hong Kong	Asia		1730
CY085089.1	A/swine/Hong Kong/1374/1993	H1N1	1993-12-13	Sus scrofa		Hong Kong	Asia		1720
CY116167.1	A/swine/England/410711/1994	H1N1	1994-01-03	Sus scrofa		United Kingdom: England	Europe		1701
CY085097.2	A/swine/Hong Kong/1767/1994	H1N1	1994-02-06	Sus scrofa		Hong Kong	Asia		1731
CY085105.1	A/swine/Hong Kong/1795/1994	H1N1	1994-02-06	Sus scrofa		Hong Kong	Asia		1724
CY116183.1	A/swine/England/425742/1994	H1N1	1994-02-07	Sus scrofa		United Kingdom: England	Europe		1701
KR700601.1	A/swine/England/463180/1994	H1N2	1994-05-12	Sus scrofa		United Kingdom	Europe		1701
CY101934.1	A/ruddy turnstone/Delaware Bay/123/1994	H1N1	1994-05-22	Arenaria interpres		USA: New Jersey	North America	P1 passage(s)	1748
CY136790.1	A/ruddy turnstone/Delaware Bay/150/1994	H1N4	1994-05-22	Arenaria interpres		USA: New Jersey	North America	E1 passage(s)	1748
CY136798.1	A/ruddy turnstone/Delaware Bay/153/1994	H1N4	1994-05-22	Arenaria interpres		USA: New Jersey	North America	E1 passage(s)	1748
CY136806.1	A/ruddy turnstone/Delaware Bay/154/1994	H1N2	1994-05-22	Arenaria interpres		USA: New Jersey	North America	E1 passage(s)	1748
CY136824.1	A/ruddy turnstone/Delaware Bay/172/1994	H1N4	1994-05-22	Arenaria interpres		USA: New Jersey	North America	E1 passage(s)	1748
CY136832.1	A/ruddy turnstone/Delaware Bay/181/1994	H1N2	1994-05-22	Arenaria interpres		USA: New Jersey	North America	E1 passage(s)	1748
CY136761.1	A/ruddy turnstone/Delaware Bay/82/1994	H1N1	1994-05-22	Arenaria interpres		USA: New Jersey	North America	E1 passage(s)	1748
CY136848.1	A/red knot/Delaware Bay/221/1994	H1N1	1994-05-23	Calidris canutus		USA: New Jersey	North America	E1 passage(s)	1748
CY136856.1	A/red knot/Delaware Bay/240/1994	H1N8	1994-05-23	Calidris canutus		USA: New Jersey	North America	E1 passage(s)	1748
CY136840.1	A/shorebird/Delaware Bay/211/1994	H1N3	1994-05-23	Aves		USA: New Jersey	North America	E1 passage(s)	1748
CY015532.1	A/New York/694/1995	H1N1	1995-05-02	Homo sapiens		USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1739
CY117691.1	A/Malaysia/06768/1995	H1N1	1995-05-16	Homo sapiens		Malaysia	Asia	P1 passage(s)	1751
CY010484.1	A/New York/604/1995	H1N1	1995-11-15	Homo sapiens		USA: Suffolk county, NY	North America	RhMK 2 passage(s)	1749
CY010740.1	A/New York/644/1995	H1N1	1995-11-28	Homo sapiens		USA: Albany county, NY	North America	RhMK 1 passage(s)	1749
CY010828.2	A/New York/651/1995	H1N1	1995-12-02	Homo sapiens		USA: Suffolk county, NY	North America	RhMK 1 passage(s)	1749
CY011800.1	A/New York/629/1995	H1N1	1995-12-04	Homo sapiens		USA: Albany county, NY	North America	RhMK 1 passage(s)	1749
CY116299.1	A/swine/England/771270/1995	H1N1	1995-12-04	Sus scrofa		United Kingdom: England	Europe		1701
CY013279.1	A/New York/643/1995	H1N1	1995-12-11	Homo sapiens		USA: Suffolk county, NY	North America	RhMK 2 passage(s)	1716
CY011280.1	A/New York/649/1995	H1N1	1995-12-11	Homo sapiens		USA: Onondaga county, NY	North America	RhMK 1 passage(s)	1749
CY011272.1	A/New York/645/1995	H1N1	1995-12-12	Homo sapiens		USA: Tompkins county, NY	North America	RhMK 1 passage(s)	1749
