accession	strain	subtype	date	host	host_common_name	location	region	passage_history	length
CY006038.1	A/duck/UKR/1/1963	H3N8	1963-12-12	Aves		Ukraine: Ukraine	Europe		1764
CY080515.1	A/Hong Kong/1-4-MA21-1/1968	H3N2	1968-01-02	Homo sapiens		Hong Kong	Asia	Mouselung 21+MDCK 2+egg 2 passage(s)	1740
CY080523.1	A/Hong Kong/1-10-MA21-1/1968	H3N2	1968-01-03	Homo sapiens		Hong Kong	Asia	Mouselung 21+MDCK 2+egg 2 passage(s)	1740
CY005943.1	A/mallard duck/ALB/26/1976	H3N1	1976-08-11	Aves		Canada: Alberta	North America		1765
CY005917.1	A/mallard duck/ALB/31/1976	H3N8	1976-08-11	Aves		Canada: Alberta	North America		1765
CY005935.1	A/pintail duck/ALB/86/1976	H3N2	1976-08-13	Aves		Canada: Alberta	North America		1765
CY014621.1	A/shearwater/Australia/405/1978	H3N8	1977-10-29	Aves		Australia	Oceania		1765
CY006031.1	A/black duck/AUS/751/1978	H3N8	1978-01-26	Aves		Australia: Australia	Oceania		1765
CY028636.1	A/black duck/Perth/699/1978	H3N8	1978-01-26	Anas platyrhynchos		Australia: Perth	Oceania		1729
CY185705.1	A/blue-winged teal/Alberta/221/1978	H3N8	1978-08-07	Spatula discors		Canada: Emilien Lake, Alberta	North America	E2 passage(s)	1740
CY005936.1	A/mallard duck/ALB/712/1978	H3N3	1978-08-15	Aves		Canada: Alberta	North America		1765
CY005937.1	A/green-winged teal/ALB/438/1979	H3N8	1979-08-10	Aves		Canada: Alberta	North America		1765
CY005938.1	A/pintail duck/ALB/462/1979	H3N6	1979-08-10	Aves		Canada: Alberta	North America		1765
CY005915.1	A/mallard duck/ALB/564/1979	H3N8	1979-08-11	Aves		Canada: Alberta	North America		1765
CY005916.1	A/mallard duck/ALB/676/1979	H3N6	1979-08-13	Aves		Canada: Alberta	North America		1765
CY005939.1	A/pintail duck/ALB/627/1979	H3N2	1979-08-13	Aves		Canada: Alberta	North America		1765
CY028275.1	A/red-necked stint/Bunbury/4500/1980	H3N8	1980-06-12	Calidris ruficollis		Australia: Bunbury	Oceania		1728
CY005977.1	A/pintail duck/ALB/169/1980	H3N8	1980-08-05	Aves		Canada: Alberta	North America		1765
CY113269.1	A/Netherlands/209/1980	H3N2	1980-12-01	Homo sapiens		Netherlands	Europe	LLCMK2 tMK2 MDCK2 passage(s)	1732
CY014633.1	A/red-necked stint/Australia/4500/1980	H3N8	1980-12-06	Aves		Australia	Oceania		1765
CY114437.1	A/Netherlands/233/1982	H3N2	1982-04-01	Homo sapiens		Netherlands	Europe	tMK1 MDCK3 passage(s)	1714
CY065976.1	A/Philippines/2-MA/1982	H3N2	1982-06-01	Homo sapiens		Philippines	Asia	Mouselung 12+MDCK 2+egg 2 passage(s)	1731
CY065968.1	A/Philippines/2/1982	H3N2	1982-06-01	Homo sapiens		Philippines	Asia	MDCK 2+egg 2 passage(s)	1731
CY113293.1	A/Netherlands/241/1982	H3N2	1982-12-01	Homo sapiens		Netherlands	Europe	tMK1 MDCK1 passage(s)	1732
CY014961.1	A/mallard duck/New York/174/1982	H3N8	1982-12-01	Aves		USA: New York	North America		1765
CY005940.1	A/blue-winged teal/ALB/452/1983	H3N1	1983-08-12	Aves		Canada: Alberta	North America		1765
CY005941.1	A/mallard duck/ALB/635/1983	H3N5	1983-08-19	Aves		Canada: Alberta	North America		1765
CY006035.1	A/duck/NZL/38/1984	H3N8	1984-02-09	Aves		New Zealand: New Zealand	Oceania		1765
CY113325.1	A/Netherlands/330/1985	H3N2	1985-01-01	Homo sapiens		Netherlands	Europe	xtMK2 MDCK1 passage(s)	1731
CY113333.1	A/Netherlands/333/1985	H3N2	1985-02-01	Homo sapiens		Netherlands	Europe	tMK3 MDCK1 passage(s)	1731
CY014548.1	A/mallard duck/Alberta/331/1985	H3N6	1985-08-18	Aves		Canada: Alberta	North America		1765
CY004657.1	A/mallard duck/ALB/438/1985	H3N4	1985-08-20	Aves		Canada: Alberta	North America		1765
CY004670.1	A/blue-winged teal/ALB/569/1985	H3N8	1985-08-22	Aves		Canada: Alberta	North America		1765
CY004662.1	A/mallard duck/ALB/525/1985	H3N8	1985-08-22	Aves		Canada: Alberta	North America		1765
CY101587.1	A/mallard/Alberta/772/1986	H3N8	1986-08-26	Anas platyrhynchos		Canada: Alberta	North America	E2 passage(s)	1740
CY101595.1	A/mallard/Alberta/782/1986	H3N8	1986-08-26	Anas platyrhynchos		Canada: Alberta	North America	E3 passage(s)	1740
CY014865.1	A/mallard duck/New York/157/1986	H3N6	1986-10-04	Aves		USA: New York	North America		1765
CY020717.1	A/mallard/Ohio/48/1986	H3N2	1986-10-20	Anas platyrhynchos		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1741
CY021429.1	A/mallard/Ohio/181/1986	H3N1	1986-11-06	Anas platyrhynchos		USA: OH	North America	Egg 2/limiting dilution in egg 1 passage(s)	1723
CY016395.1	A/mallard/Ohio/264/1986	H3N8	1986-11-08	Anas platyrhynchos		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1731
CY101430.1	A/mallard/Alberta/16/1987	H3N8	1987-08-04	Anas platyrhynchos		Canada: Alberta	North America	E2 passage(s)	1740
CY101446.1	A/blue-winged teal/Alberta/130/1987	H3N8	1987-08-12	Spatula discors		Canada: Alberta	North America	EXE1 passage(s)	1740
