accession	strain	subtype	date	host_specific	host_tax_id	host_general	host_order	location	region	passage_history	length
PP927346.1	A/Equus ferus caballus/Florida/2/1963	H3N8	1963	Equus ferus	1114792	non-human mammal	Perissodactyla	USA: Miami, Florida	North America		1762
CY130014.1	A/duck/Ukraine/1963	H3N8	1963	Anatidae	8830	avian	Anseriformes	Ukraine	Europe		1740
CY028836.1	A/equine/Miami/1/1963	H3N8	1963	Equus caballus	9796	non-human mammal	Perissodactyla	USA: Florida	North America		1725
M29257.1	A/equine/Miami/1963	H3N8	1963								1762
CY032293.1	A/equine/Sao Paulo/6/1963	H3N8	1963	Equus caballus	9796	non-human mammal	Perissodactyla	Brazil: Sao Paulo	South America		1722
CY032421.1	A/equine/Uruguay/1/1963	H3N8	1963	Equus caballus	9796	non-human mammal	Perissodactyla	Uruguay	South America	P1 passage(s)	1718
CY006038.1	A/duck/UKR/1/1963	H3N8	1963-12-12	Aves	8782	avian		Ukraine: Ukraine	Europe		1764
AB847411.1	A/Aichi/2-1/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Japan: Aichi	Asia		1701
KC895864.1	A/Aichi/2-MA/1968	H3N2	1968								1765
AB284320.1	A/Aichi/2/1968	H3N2	1968								1765
KF874500.2	A/Aichi/2/1968	H3N2	1968								1701
J02090.1	A/Aichi/2/1968	H3N2	1968								1738
M55059.1	A/Aichi/2/1968	H3N2	1968								1763
CY021845.1	A/Albany/10/1968	H3N2	1968	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 3 passage(s)	1726
CY019891.1	A/Albany/11/1968	H3N2	1968	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 3 passage(s)	1724
CY021109.1	A/Albany/17/1968	H3N2	1968	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	Amniotic 1 pRhMK 2 passage(s)	1724
CY020525.1	A/Albany/18/1968	H3N2	1968	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	Amniotic 1/pRhMK 2 passage(s)	1717
CY019907.1	A/Albany/19/1968	H3N2	1968	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 5 passage(s)	1724
CY022085.1	A/Albany/6/1968	H3N2	1968	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 3 passage(s)	1724
CY112233.2	A/Bilthoven/15793/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK5 MDCK1 passage(s)	1721
