accession	strain	subtype	date	host_specific	host_tax_id	host_general	host_order	location	region	passage_history	length
GU186777.1	A/chicken/Brescia/1902	H7N7	1902	Gallus gallus	9031	avian	Galliformes	Italy	Europe		1716
CY130142.1	A/FPV/Dutch/1927	H7N7	1927	Gallus gallus	9031	avian	Galliformes	United Kingdom	Europe	XE1 passage(s)	1716
CY014992.1	A/fowl/Dobson/1927	H7N7	1927	Aves	8782	avian		USA: Dobson	North America		1741
GU052946.1	A/chicken/Germany/1934	H7N1	1934	Gallus gallus	9031	avian	Galliformes	Germany	Europe		1717
CY077420.1	A/chicken/Rostock/45/1934	H7N1	1934	Gallus gallus	9031	avian	Galliformes	Germany	Europe		1728
MT914270.1	A/chicken/Rostock/R0p/1934	H7N1	1934	Gallus gallus	9031	avian	Galliformes	Germany: Rostock	Europe		1704
MT917016.1	A/chicken/Rostock/R10p/1934	H7N1	1934	Gallus gallus	9031	avian	Galliformes	Germany: Rostock	Europe		1741
MT916937.1	A/chicken/Rostock/R5p/1934	H7N1	1934	Gallus gallus	9031	avian	Galliformes	Germany: Rostock	Europe		1741
MT916990.1	A/chicken/Rostock/R6p/1934	H7N1	1934	Gallus gallus	9031	avian	Galliformes	Germany: Rostock	Europe		1741
CY096907.1	A/equine/Prague/1/1956	H7N7	1956	Equus caballus	9796	non-human mammal	Perissodactyla	Czech Republic: Prague	Europe		1721
CY130134.1	A/equine/Prague/1956	H7N7	1956	Equus caballus	9796	non-human mammal	Perissodactyla	Czech Republic: Prague	Europe	XE1 passage(s)	1729
CY087816.1	A/equine/Prague/2/1956	H7N7	1956-06-11	Equus caballus	9796	non-human mammal	Perissodactyla	Czech Republic: Prague	Europe	E 2 passage(s)	1729
CY015065.1	A/turkey/England/1963	H7N3	1963	Aves	8782	avian		United Kingdom: England	Europe		1738
CY130150.1	A/turkey/England/1963	H7N3	1963	Meleagris gallopavo	9103	avian	Galliformes	United Kingdom: England	Europe	XE1 passage(s)	1713
KF435057.1	A/equine/Detroit/3/1964	H7N7	1964	Equus caballus	9796	non-human mammal	Perissodactyla	USA	North America		1713
CY039391.1	A/equine/Lexington/1/1966	H7N7	1966	Equus caballus	9796	non-human mammal	Perissodactyla	USA: Lexington	North America		1721
MW080982.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW081038.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW081006.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW080990.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW080998.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW080974.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW081014.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW081022.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW081030.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
MW081046.1	A/turkey/Oregon/1-PC4_RG/1971	H7N3	1971						Asia		1731
M31689.1	A/turkey/Oregon/1971	H7N3	1971						Asia		1731
M58657.1	A/equine/London/1416/1973	H7N7	1973								1761
LC414434.1	A/equine/New York/49/1973	H7N7	1973	Equus caballus	9796	non-human mammal	Perissodactyla	USA	North America		1728
JX983548.1	A/equine/Kirgiziya/26/1974	H7N7	1974	Equus caballus	9796	non-human mammal	Perissodactyla	USSR: Kirgizya	Europe		1717
CY036871.1	A/equine/Kentucky/1a/1975	H7N7	1975	Equus caballus	9796	non-human mammal	Perissodactyla	USA: Kentucky	North America		1720
CY061602.1	A/duck/Victoria/1976	H7N7	1976	Anatidae	8830	avian	Anseriformes	Australia: Victoria	Oceania		1697
CY036879.1	A/equine/Sao Paulo/4/1976	H7N7	1976	Equus caballus	9796	non-human mammal	Perissodactyla	Brazil: Sao Paulo	South America	P2 passage(s)	1713
CY036887.1	A/equine/Uruguay/1063/1976	H7N7	1976	Equus caballus	9796	non-human mammal	Perissodactyla	Uruguay	South America	P2 passage(s)	1714
CY024786.1	A/chicken/Victoria/1976	H7N7	1976-01	Gallus gallus	9031	avian	Galliformes	Australia: Victoria	Oceania	Egg 4 passage(s)	1706
CY185713.1	A/mallard/Alberta/49/1976	H7N3	1976-08-11	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	E? passage(s)	1706
CY036895.1	A/equine/Argentina/1/1977	H7N7	1977	Equus caballus	9796	non-human mammal	Perissodactyla	Argentina	South America		1713
AF202247.1	A/turkey/England/647/1977	H7N7	1977						Asia		1732
KJ889439.1	A/turkey/England/647/1977	H7N7	1977	Meleagris gallopavo	9103	avian	Galliformes	United Kingdom: England	Europe		1727
CY005973.1	A/mallard duck/ALB/224/1977	H7N5	1977-08-05	Aves	8782	avian		Canada: Alberta	North America		1731
CY005974.1	A/blue-winged teal/ALB/295/1977	H7N3	1977-09-01	Aves	8782	avian		Canada: Alberta	North America		1731
CY005976.1	A/mallard duck/ALB/279/1977	H7N3	1977-09-01	Aves	8782	avian		Canada: Alberta	North America		1731
CY005975.1	A/widgeon/ALB/284/1977	H7N3	1977-09-01	Aves	8782	avian		Canada: Alberta	North America		1731
CY006029.1	A/dk/Hong Kong/293/1978	H7N2	1978	Aves	8782	avian		Hong Kong: Hong Kong	Asia		1732
AF202232.1	A/African starling/England-Q/983/1979	H7N1	1979								1732
CY107844.1	A/chicken/Germany/01/1979	H7N7	1979	Gallus gallus	9031	avian	Galliformes	Germany	Europe		1701
CY180644.1	A/mallard/Wisconsin/223/1979	H7N3	1979	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1695
CY180652.1	A/mallard/Wisconsin/438/1979	H7N3	1979	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto, WI	North America		1695
LC431468.1	A/pintail/Alberta/121/1979	H7N8	1979	Anas acuta	28680	avian	Anseriformes	Canada:Alberta	North America		1716
